county,year,new_cases,est_pop,new_case_rate,year_mod,log_pop
Abbeville,2001,117,26330,0.004443600455753893,1,10.178464252490356
Aiken,2001,700,143676,0.004872073275982071,1,11.875316043504844
Allendale,2001,55,11022,0.00499001996007984,1,9.307648554443182
Anderson,2001,891,168881,0.005275904335005122,1,12.036949603868953
Bamberg,2001,95,16580,0.005729794933655006,1,9.715952428689286
Barnwell,2001,103,23406,0.004400581047594634,1,10.060747678734712
Beaufort,2001,690,125550,0.005495818399044205,1,11.740459364585732
Berkeley,2001,587,145153,0.004044008735610011,1,11.88554363751339
Calhoun,2001,62,15301,0.004052022743611529,1,9.635673464721814
Charleston,2001,1528,313065,0.004880775557791513,1,12.654166115693961
Cherokee,2001,252,53020,0.004752923425122595,1,10.878424479843016
Chester,2001,195,34064,0.005724518553311414,1,10.43599638713326
Chesterfield,2001,162,43339,0.003737972726643439,1,10.676808201450829
Clarendon,2001,165,32887,0.0050171800407455835,1,10.400832721888241
Colleton,2001,219,38339,0.005712199066224993,1,10.554222933839034
Darlington,2001,321,67863,0.004730118031917245,1,11.125246246025945
Dillon,2001,138,30995,0.004452331021132441,1,10.34158118013602
Dorchester,2001,407,98683,0.004124317258291702,1,11.499667971478305
Edgefield,2001,128,24690,0.005184285135682463,1,10.114153582339226
Fairfield,2001,129,23614,0.005462861014652325,1,10.069595035467055
Florence,2001,617,126377,0.00488221749210695,1,11.74702478211248
Georgetown,2001,367,56800,0.006461267605633803,1,10.947291604709243
Greenville,2001,1846,385780,0.004785110684846285,1,12.863022537778232
Greenwood,2001,341,66544,0.005124428949266651,1,11.105618661982692
Hampton,2001,93,21262,0.004374000564387169,1,9.964676720848551
Horry,2001,1213,201982,0.00600548563733402,1,12.215933863502016
Jasper,2001,80,21024,0.00380517503805175,1,9.953419921284338
Kershaw,2001,280,53474,0.005236189550061712,1,10.886950833448497
Lancaster,2001,306,62250,0.00491566265060241,1,11.038913814326953
Laurens,2001,352,69407,0.0050715345714409206,1,11.147743005961724
Lee,2001,76,19957,0.0038081876033471966,1,9.901335237967984
Lexington,2001,970,220099,0.004407107710621129,1,12.301832724114863
McCormick,2001,54,10095,0.005349182763744428,1,9.219795530746937
Marion,2001,158,35119,0.004498989151171731,1,10.466497573539566
Marlboro,2001,135,28606,0.004719289659511991,1,10.261371765014845
Newberry,2001,183,36053,0.00507586053865143,1,10.49274535700381
Oconee,2001,430,67170,0.0064016674110465984,1,11.11498199826091
Orangeburg,2001,544,91536,0.005943016955077784,1,11.42448761650831
Pickens,2001,548,111600,0.004910394265232975,1,11.622676328929348
Richland,2001,1352,327446,0.0041289250746688,1,12.699078434966152
Saluda,2001,63,19191,0.0032827888072534,1,9.862196698118247
Spartanburg,2001,1258,256469,0.004905076247031805,1,12.454763078589275
Sumter,2001,438,104629,0.004186219881677164,1,11.558176038841127
Union,2001,189,29813,0.006339516318384597,1,10.302699818978526
Williamsburg,2001,178,36751,0.004843405621615738,1,10.511920715155128
York,2001,732,169103,0.004328722731116538,1,12.03826327571097
Abbeville,2002,139,26311,0.005282961498992817,2,10.177742381673879
Aiken,2002,721,145226,0.004964675746767108,2,11.886046428703784
Allendale,2002,45,11114,0.004048947273708836,2,9.315960853839867
Anderson,2002,985,170287,0.005784352299353444,2,12.045240527859185
Bamberg,2002,89,16548,0.0053782934493594396,2,9.714020527581303
Barnwell,2002,119,23177,0.005134400483237693,2,10.05091568660256
Beaufort,2002,798,129290,0.0061721710882512186,2,11.7698132222486
Berkeley,2002,636,146733,0.004334403303960254,2,11.896369887709124
Calhoun,2002,91,15257,0.005964475322802648,2,9.632793693113202
Charleston,2002,1695,317379,0.0053406179993005206,2,12.667851922314718
Cherokee,2002,241,53407,0.004512517085775273,2,10.88569710249957
Chester,2002,185,34083,0.0054279259454860194,2,10.436554005238014
Chesterfield,2002,201,43834,0.004585481589633618,2,10.688165050941665
Clarendon,2002,163,33094,0.004925364114340968,2,10.40710727605179
Colleton,2002,236,38463,0.006135766840860047,2,10.557452019220811
Darlington,2002,345,68247,0.005055167260099345,2,11.130888756037155
Dillon,2002,145,31e3,0.00467741935483871,2,10.341742483467284
Dorchester,2002,470,101067,0.004650380440697755,2,11.52353894222984
Edgefield,2002,106,24962,0.004246454611008733,2,10.1251099474784
Fairfield,2002,130,23890,0.0054416073670992045,2,10.081215240319855
Florence,2002,650,127343,0.005104324540807111,2,11.754639512269478
Georgetown,2002,341,57688,0.005911108029399529,2,10.962804458596596
Greenville,2002,2008,390197,0.005146118499117113,2,12.874407018776651
Greenwood,2002,324,66996,0.004836109618484685,2,11.112388195098362
Hampton,2002,90,21186,0.004248088360237893,2,9.961095865156441
Horry,2002,1277,206566,0.0061820435115169,2,12.2383752529088
Jasper,2002,89,21102,0.004217609705241209,2,9.957123101702038
Kershaw,2002,307,53714,0.0057154559332762405,2,10.891428954153636
Lancaster,2002,312,63282,0.004930311937043709,2,11.05535620750467
Laurens,2002,362,68841,0.005258494211298499,2,11.139554776658086
Lee,2002,85,19970,0.004256384576865298,2,9.901986426409861
Lexington,2002,1043,222761,0.004682148131854319,2,12.313854726829819
McCormick,2002,58,10110,0.005736894164193867,2,9.221280312014517
Marion,2002,176,34786,0.005059506698096935,2,10.456970285968099
Marlboro,2002,135,28599,0.004720444770796182,2,10.261127031161688
Newberry,2002,199,36244,0.00549056395541331,2,10.498029129341951
Oconee,2002,422,68194,0.006188227703317007,2,11.130111863421801
Orangeburg,2002,538,91676,0.005868493389763951,2,11.426015900979298
Pickens,2002,529,111806,0.0047314097633400715,2,11.62452050552607
Richland,2002,1463,331285,0.004416137162865811,2,12.710734311078262
Saluda,2002,89,19180,0.004640250260688217,2,9.86162334843743
Spartanburg,2002,1328,258467,0.005137986667543632,2,12.462523305206975
Sumter,2002,493,105380,0.0046783070791421525,2,11.565328143763276
Union,2002,173,29699,0.005825111956631536,2,10.298868654190272
Williamsburg,2002,181,36333,0.004981697079789723,2,10.50048169818916
York,2002,713,173021,0.00412088705995226,2,12.061168253396312
Abbeville,2003,142,26306,0.005398008058997947,3,10.177552329028725
Aiken,2003,674,146793,0.00459149959466732,3,11.896778710101932
Allendale,2003,61,11092,0.005499459069599711,3,9.313979406735669
Anderson,2003,935,171862,0.005440411492942012,3,12.054447108178762
Bamberg,2003,88,16342,0.005384897809325664,3,9.701493759944652
Barnwell,2003,109,23211,0.004696049286976003,3,10.052381583217564
Beaufort,2003,777,130998,0.005931388265469702,3,11.782937334891171
Berkeley,2003,651,148035,0.004397608673624481,3,11.905204011274217
Calhoun,2003,65,15309,0.004245868443399308,3,9.63619616973208
Charleston,2003,1601,321222,0.004984091998680041,3,12.67988775185988
Cherokee,2003,260,53437,0.004865542601568202,3,10.886258668910195
Chester,2003,175,33920,0.005159198113207547,3,10.43176008990584
Chesterfield,2003,185,44107,0.004194345568730587,3,10.694373778997369
Clarendon,2003,155,33305,0.0046539558624831105,3,10.41346281484728
Colleton,2003,224,38543,0.005811690838803414,3,10.559529780142832
Darlington,2003,347,68382,0.005074434792781727,3,11.13286491108379
Dillon,2003,149,31093,0.004792075386742997,3,10.344737992447081
Dorchester,2003,479,104119,0.004600505191175482,3,11.553289754759652
Edgefield,2003,99,25404,0.003897024090694379,3,10.142661920922865
Fairfield,2003,129,23904,0.005396586345381526,3,10.081801087932543
Florence,2003,652,128671,0.005067186856401209,3,11.765014037968218
Georgetown,2003,346,58387,0.005925976672889513,3,10.974848541296925
Greenville,2003,1968,394242,0.004991857792929216,3,12.884720212926318
Greenwood,2003,344,67288,0.0051123528712400425,3,11.116737193642273
Hampton,2003,95,21267,0.0044670146235952415,3,9.964911854523127
Horry,2003,1224,211725,0.005781083953241233,3,12.2630435417898
Jasper,2003,88,21236,0.004143906573742701,3,9.963453133703561
Kershaw,2003,280,54614,0.005126890540886952,3,10.908045539121915
Lancaster,2003,296,64210,0.004609873851425012,3,11.069914240788094
Laurens,2003,352,68468,0.005141087807442893,3,11.134121761815555
Lee,2003,87,20005,0.004348912771807048,3,9.903737521291335
Lexington,2003,1048,226887,0.004619039433726922,3,12.332207375164474
McCormick,2003,69,10167,0.0067866627323694305,3,9.226902460275161
Marion,2003,158,34690,0.004554626693571634,3,10.454206739963796
Marlboro,2003,134,28485,0.004704230296647358,3,10.257132911914496
Newberry,2003,226,36226,0.006238613150775686,3,10.497532372052861
Oconee,2003,445,68900,0.006458635703918723,3,11.14041145700175
Orangeburg,2003,467,91788,0.005087811042837844,3,11.427236849109866
Pickens,2003,529,112704,0.004693710959681999,3,11.632520191855878
Richland,2003,1431,336273,0.004255471001240064,3,12.7256786090459
Saluda,2003,97,19096,0.005079597821533306,3,9.857234168018666
Spartanburg,2003,1369,260223,0.0052608724055905895,3,12.469294234697491
Sumter,2003,490,105112,0.004661694192860949,3,11.562781727321658
Union,2003,164,29519,0.005555743758257394,3,10.292789402801873
